"idx","num_of_columns","columns","wlp","is_comp","b_columns","s22_max"
390,11,"1 2 5 14 22 9 24 31 34 39 3","3 42 111 132",FALSE,"18 10 16 6 4 16 7 6 8 11 25",49
792,12,"1 2 5 14 22 9 24 31 3 25 13 37","4 72 144 354",FALSE,"23 15 18 6 6 26 12 12 26 7 15 7",54
1599,13,"1 2 5 14 22 9 24 31 3 25 13 37 6","7 102 219 690",FALSE,"23 33 29 12 7 18 7 12 16 7 15 7 27",58
3104,14,"1 2 5 14 22 9 24 31 3 25 13 37 6 18","10 140 334 1236",FALSE,"23 33 29 12 7 16 7 12 26 7 15 7 27 12",61
5763,15,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7","13 192 495 2055",FALSE,"27 19 30 12 12 26 12 12 20 12 15 12 23 10 16",57
10067,16,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35","16 256 720 3288",FALSE,"23 19 29 12 12 26 12 12 20 12 17 12 27 12 16 12",48
16541,17,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35 15","24 304 1096 4984",FALSE,"23 19 29 12 12 26 12 12 20 12 17 12 27 12 16 12 4",60
25387,18,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38","30 369 1602 7443",FALSE,"18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10",81
36526,19,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27","39 435 2313 10521",FALSE,"18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10 8",99
49289,20,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27 8","51 519 3108 15051",FALSE,"18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10 11 4",111
62488,20,"7 11 12 13 17 18 19 21 23 26 27 28 30 32 34 35 37 38 39 40","69 483 2955 15474",TRUE,"3 4 3 4 1 4 10 5 2 1 3 1 4 1 3 2 10 8 9 5",111
48963,21,"7 11 12 13 17 18 19 20 21 23 26 27 28 30 32 34 35 37 38 39 40","58 383 2220 10864",TRUE,"3 4 3 4 1 4 10 6 5 8 1 3 1 4 1 3 2 10 8 9 5",114
35798,22,"7 11 12 13 17 18 19 20 21 23 26 27 28 29 30 32 34 35 37 38 39 40","48 300 1647 7449",TRUE,"3 4 3 4 1 4 10 6 5 8 1 3 1 2 4 1 3 2 10 8 9 5",126
24493,23,"7 11 12 13 15 16 17 18 23 25 26 27 28 29 30 32 33 34 35 37 38 39 40","40 230 1196 4992",TRUE,"3 4 3 4 5 6 10 4 2 10 6 9 6 8 9 5 6 3 8 1 2 3 1",138
15060,24,"3 6 7 8 10 12 13 16 17 18 19 20 23 27 28 30 32 33 34 35 36 37 39 40","32 174 855 3242",TRUE,"1 21 2 24 22 1 4 2 5 4 2 5 11 2 1 9 11 9 5 4 1 4 9 1",147
8874,25,"3 4 6 7 11 12 13 16 17 19 20 21 23 25 26 28 30 32 33 34 35 36 37 38 39","26 126 594 2060",TRUE,"15 14 1 15 18 24 14 2 2 9 5 1 5 10 2 1 1 9 9 8 8 5 10 8 10",138
