"num_of_columns","columns","wlp"
"8","1 2 4 8 16 7 3 5","0 0 4 3 0 0 0 0"
"8","6 7 9 11 12 13 14 15","0 0 4 5 4 2 0 0"
"8","6 7 10 11 12 13 14 15","0 0 4 6 4 0 0 1"
"8","6 7 9 10 11 12 13 15","0 0 5 5 2 2 1 0"
"8","3 5 6 9 10 12 14 15","0 0 7 7 0 0 1 0"
"9","1 2 4 8 16 15 19 21 25","0 0 0 6 8 0 0 1 0"
"9","1 2 4 8 16 15 19 21 22","0 0 0 7 7 0 0 0 1"
"9","1 2 4 8 16 31 7 11 21","0 0 0 9 0 6 0 0 0"
"9","1 2 4 8 16 31 7 11 13","0 0 0 10 0 4 0 1 0"
"9","1 2 4 8 16 7 11 13 14","0 0 0 14 0 0 0 1 0"
"9","1 2 4 8 16 15 19 21 9","0 0 1 5 6 2 1 0 0"
"9","1 2 4 8 16 15 19 21 7","0 0 1 7 4 0 3 0 0"
"9","1 2 4 8 16 15 19 5 24","0 0 2 3 6 4 0 0 0"
"9","1 2 4 8 16 15 19 21 3","0 0 2 4 6 2 0 1 0"
"9","1 2 4 8 16 31 7 11 5","0 0 2 5 4 2 2 0 0"
"9","1 2 4 8 16 31 7 11 12","0 0 2 5 5 2 0 0 1"
"9","1 2 4 8 16 7 11 19 5","0 0 2 6 4 0 2 1 0"
"9","1 2 4 8 16 15 19 5 10","0 0 3 3 4 4 1 0 0"
"9","1 2 4 8 16 15 19 7 17","0 0 3 3 4 4 1 0 0"
"9","1 2 4 8 16 15 19 21 17","0 0 3 3 4 4 1 0 0"
"9","1 2 4 8 16 15 19 5 3","0 0 3 4 4 2 1 1 0"
"9","1 2 4 8 16 31 7 11 3","0 0 3 5 2 2 3 0 0"
"9","1 2 4 8 16 7 11 13 3","0 0 3 7 4 0 1 0 0"
"9","1 2 4 8 16 31 3 12 19","0 0 4 3 2 4 2 0 0"
"9","1 2 4 8 16 15 19 17 18","0 0 4 3 3 4 0 0 1"
"9","1 2 4 8 16 31 3 12 15","0 0 4 3 3 4 0 0 1"
"9","1 2 4 8 16 15 19 7 3","0 0 4 4 2 2 2 1 0"
"9","1 2 4 8 16 15 19 17 3","0 0 4 4 2 2 2 1 0"
"9","1 2 4 8 16 7 11 5 9","0 0 4 5 4 2 0 0 0"
"9","1 2 4 8 16 7 11 19 3","0 0 4 6 0 0 4 1 0"
"9","1 2 4 8 16 7 11 5 6","0 0 4 6 4 0 0 1 0"
"9","7 8 9 10 11 12 13 14 15","0 0 4 14 8 0 4 1 0"
"9","1 2 4 8 16 7 24 3 5","0 0 5 3 0 4 3 0 0"
"9","1 2 4 8 16 7 11 5 3","0 0 5 5 2 2 1 0 0"
"9","5 6 7 9 10 11 13 14 15","0 0 6 9 9 6 0 0 1"
"9","6 7 9 10 11 12 13 14 15","0 0 6 10 8 4 2 1 0"
"9","1 2 4 8 16 7 3 5 6","0 0 7 7 0 0 1 0 0"
"9","5 6 7 9 10 11 12 14 15","0 0 7 9 6 6 3 0 0"
"9","3 5 6 9 10 12 13 14 15","0 0 8 10 4 4 4 1 0"
"10","1 2 4 8 16 15 19 21 25 30","0 0 0 10 16 0 0 5 0 0"
"10","1 2 4 8 16 31 7 11 21 25","0 0 0 15 0 15 0 0 0 1"
"10","1 2 4 8 16 31 7 11 21 13","0 0 0 16 0 12 0 3 0 0"
"10","1 2 4 8 16 31 7 11 13 14","0 0 0 18 0 8 0 5 0 0"
"10","1 2 4 8 16 15 19 21 25 7","0 0 1 10 11 4 3 1 1 0"
"10","1 2 4 8 16 15 19 21 22 7","0 0 1 14 7 0 7 1 1 0"
"10","1 2 4 8 16 15 19 21 9 31","0 0 2 7 12 7 2 0 0 1"
"10","1 2 4 8 16 15 19 21 25 3","0 0 2 8 12 4 2 3 0 0"
"10","1 2 4 8 16 31 7 11 21 6","0 0 2 9 9 6 4 0 1 0"
"10","1 2 4 8 16 31 7 11 13 18","0 0 2 10 8 4 6 1 0 0"
"10","1 2 4 8 16 15 19 21 9 23","0 0 3 6 11 8 1 1 1 0"
"10","1 2 4 8 16 15 19 21 9 3","0 0 3 7 10 6 3 2 0 0"
"10","1 2 4 8 16 15 19 21 22 3","0 0 3 8 11 4 1 3 1 0"
"10","1 2 4 8 16 31 7 11 21 3","0 0 3 9 6 6 7 0 0 0"
"10","1 2 4 8 16 31 7 11 13 3","0 0 3 10 7 4 5 1 1 0"
"10","1 2 4 8 16 15 19 5 24 13","0 0 4 5 9 10 2 0 1 0"
"10","1 2 4 8 16 7 11 19 5 24","0 0 4 6 8 8 4 1 0 0"
"10","1 2 4 8 16 15 19 5 24 3","0 0 4 6 8 8 4 1 0 0"
"10","1 2 4 8 16 15 19 21 9 6","0 0 4 6 8 8 4 1 0 0"
"10","1 2 4 8 16 15 19 21 25 17","0 0 4 6 8 8 4 1 0 0"
"10","1 2 4 8 16 15 19 21 7 17","0 0 4 7 8 7 4 0 0 1"
"10","1 2 4 8 16 31 7 11 5 9","0 0 4 7 8 7 4 0 0 1"
"10","1 2 4 8 16 15 19 21 3 5","0 0 4 7 9 6 2 2 1 0"
"10","1 2 4 8 16 15 19 21 3 18","0 0 4 8 8 4 4 3 0 0"
"10","1 2 4 8 16 15 19 21 7 3","0 0 4 8 8 4 4 3 0 0"
"10","1 2 4 8 16 31 7 11 5 10","0 0 4 8 8 4 4 3 0 0"
"10","1 2 4 8 16 31 7 11 13 15","0 0 4 10 4 4 8 1 0 0"
"10","1 2 4 8 16 7 11 19 5 6","0 0 4 10 8 0 4 5 0 0"
"10","1 2 4 8 16 7 11 13 14 3","0 0 4 14 8 0 4 1 0 0"
"10","1 2 4 8 16 15 19 5 10 17","0 0 5 5 6 10 5 0 0 0"
"10","1 2 4 8 16 15 19 5 10 3","0 0 5 6 7 8 3 1 1 0"
"10","1 2 4 8 16 15 19 7 17 18","0 0 5 6 7 8 3 1 1 0"
"10","1 2 4 8 16 15 19 21 3 17","0 0 5 6 7 8 3 1 1 0"
"10","1 2 4 8 16 31 7 11 5 3","0 0 5 7 6 6 5 2 0 0"
"10","1 2 4 8 16 31 7 11 5 15","0 0 5 7 6 6 5 2 0 0"
"10","1 2 4 8 16 31 7 11 12 3","0 0 5 8 7 4 3 3 1 0"
"10","1 2 4 8 16 15 19 7 17 3","0 0 6 6 4 8 6 1 0 0"
"10","1 2 4 8 16 31 7 11 3 15","0 0 6 7 4 7 6 0 0 1"
"10","1 2 4 8 16 15 19 5 3 7","0 0 6 7 5 6 4 2 1 0"
"10","1 2 4 8 16 7 11 19 5 3","0 0 6 8 4 4 6 3 0 0"
"10","1 2 4 8 16 7 11 5 9 15","0 0 6 9 9 6 0 0 1 0"
"10","1 2 4 8 16 7 11 13 3 5","0 0 6 10 8 4 2 1 0 0"
"10","1 2 4 8 16 15 19 17 18 3","0 0 7 8 3 4 5 3 1 0"
"10","1 2 4 8 16 7 11 5 9 3","0 0 7 9 6 6 3 0 0 0"
"10","1 2 4 8 16 7 24 3 5 6","0 0 8 7 0 7 8 0 0 1"
"10","1 2 4 8 16 7 11 5 6 3","0 0 8 10 4 4 4 1 0 0"
"10","6 7 8 9 10 11 12 13 14 15","0 0 8 18 16 8 8 5 0 0"
"10","5 6 7 9 10 11 12 13 14 15","0 0 9 16 15 12 7 3 1 0"
"10","3 5 6 7 9 10 11 12 13 14","0 0 10 15 12 15 10 0 0 1"
"10","3 5 6 9 10 11 12 13 14 15","0 0 10 16 12 12 10 3 0 0"
"11","1 2 4 8 16 31 7 11 21 25 13","0 0 0 25 0 27 0 10 0 1 0"
"11","1 2 4 8 16 31 7 11 21 13 14","0 0 0 26 0 24 0 13 0 0 0"
"11","1 2 4 8 16 15 19 21 25 30 3","0 0 2 14 22 8 6 9 2 0 0"
"11","1 2 4 8 16 31 7 11 21 13 17","0 0 2 16 16 12 10 3 4 0 0"
"11","1 2 4 8 16 31 7 11 13 14 17","0 0 2 18 14 8 14 5 2 0 0"
"11","1 2 4 8 16 15 19 21 25 7 9","0 0 3 13 19 11 9 6 1 1 0"
"11","1 2 4 8 16 31 7 11 21 25 3","0 0 3 15 13 15 13 0 3 1 0"
"11","1 2 4 8 16 31 7 11 21 13 20","0 0 3 16 12 12 16 3 0 0 1"
"11","1 2 4 8 16 31 7 11 21 13 3","0 0 3 16 13 12 13 3 3 0 0"
"11","1 2 4 8 16 15 19 21 25 3 29","0 0 4 10 20 16 4 5 4 0 0"
"11","1 2 4 8 16 15 19 21 9 31 3","0 0 4 11 18 15 8 4 2 1 0"
"11","1 2 4 8 16 15 19 21 25 3 5","0 0 4 12 18 12 8 7 2 0 0"
"11","1 2 4 8 16 15 19 21 25 7 3","0 0 4 12 18 12 8 7 2 0 0"
"11","1 2 4 8 16 31 7 11 13 18 20","0 0 4 13 16 11 12 6 0 1 0"
"11","1 2 4 8 16 15 19 21 25 3 18","0 0 4 14 16 8 12 9 0 0 0"
"11","1 2 4 8 16 31 7 11 21 13 5","0 0 4 16 10 12 16 3 2 0 0"
"11","1 2 4 8 16 31 7 11 13 14 3","0 0 4 18 12 8 12 5 4 0 0"
"11","1 2 4 8 16 15 19 21 9 31 6","0 0 5 9 17 19 7 2 3 1 0"
"11","1 2 4 8 16 15 19 21 9 3 28","0 0 5 10 16 16 10 5 0 0 1"
"11","1 2 4 8 16 15 19 21 25 3 12","0 0 5 10 16 16 10 5 0 0 1"
"11","1 2 4 8 16 15 19 21 25 30 17","0 0 5 10 16 16 10 5 0 0 1"
"11","1 2 4 8 16 15 19 21 9 23 3","0 0 5 10 17 16 7 5 3 0 0"
"11","1 2 4 8 16 15 19 21 25 7 17","0 0 5 11 15 15 11 4 1 1 0"
"11","1 2 4 8 16 31 7 11 13 18 3","0 0 5 11 15 15 11 4 1 1 0"
"11","1 2 4 8 16 31 7 11 21 6 10","0 0 5 11 15 15 11 4 1 1 0"
"11","1 2 4 8 16 31 7 11 13 18 5","0 0 5 12 15 12 11 7 1 0 0"
"11","1 2 4 8 16 31 7 11 21 6 3","0 0 5 12 15 12 11 7 1 0 0"
"11","1 2 4 8 16 15 19 21 22 7 3","0 0 5 15 15 7 11 8 1 1 0"
"11","1 2 4 8 16 31 7 11 13 14 15","0 0 5 18 8 8 18 5 0 0 1"
"11","1 2 4 8 16 15 19 5 24 13 3","0 0 6 9 14 19 10 2 2 1 0"
"11","1 2 4 8 16 7 11 19 5 24 6","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 7 11 19 5 24 9","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 15 19 21 9 3 6","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 15 19 21 9 3 11","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 15 19 21 9 23 6","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 15 19 21 25 3 17","0 0 6 10 14 16 10 5 2 0 0"
"11","1 2 4 8 16 31 7 11 21 3 5","0 0 6 11 12 15 14 4 0 1 0"
"11","1 2 4 8 16 31 7 11 13 18 15","0 0 6 12 12 12 14 7 0 0 0"
"11","1 2 4 8 16 31 7 11 21 3 20","0 0 6 12 12 12 14 7 0 0 0"
"11","1 2 4 8 16 15 19 21 3 5 23","0 0 6 12 16 12 6 7 4 0 0"
"11","1 2 4 8 16 15 19 21 22 3 5","0 0 6 12 16 12 6 7 4 0 0"
"11","1 2 4 8 16 31 7 11 13 3 5","0 0 6 13 14 11 10 6 2 1 0"
"11","1 2 4 8 16 31 7 11 13 3 12","0 0 6 14 14 8 10 9 2 0 0"
"11","1 2 4 8 16 15 19 21 9 6 17","0 0 7 9 11 19 13 2 1 1 0"
"11","1 2 4 8 16 15 19 5 24 3 7","0 0 7 10 11 16 13 5 1 0 0"
"11","1 2 4 8 16 15 19 21 7 17 3","0 0 7 11 13 15 9 4 3 1 0"
"11","1 2 4 8 16 31 7 11 5 9 3","0 0 7 11 13 15 9 4 3 1 0"
"11","1 2 4 8 16 31 7 11 5 9 15","0 0 7 11 13 15 9 4 3 1 0"
"11","1 2 4 8 16 15 19 21 3 18 7","0 0 7 12 12 12 12 7 0 0 1"
"11","1 2 4 8 16 31 7 11 5 10 3","0 0 7 12 12 12 12 7 0 0 1"
"11","1 2 4 8 16 15 19 21 3 5 6","0 0 7 12 13 12 9 7 3 0 0"
"11","1 2 4 8 16 15 19 21 3 5 7","0 0 7 12 13 12 9 7 3 0 0"
"11","1 2 4 8 16 31 7 11 13 3 15","0 0 7 13 11 11 13 6 1 1 0"
"11","1 2 4 8 16 7 11 19 5 24 3","0 0 8 10 8 16 16 5 0 0 0"
"11","1 2 4 8 16 15 19 5 10 3 7","0 0 8 11 10 15 12 4 2 1 0"
"11","1 2 4 8 16 15 19 21 3 18 17","0 0 8 12 10 12 12 7 2 0 0"
"11","1 2 4 8 16 31 7 11 5 10 15","0 0 8 12 10 12 12 7 2 0 0"
"11","1 2 4 8 16 7 11 13 14 3 5","0 0 8 18 16 8 8 5 0 0 0"
"11","1 2 4 8 16 15 19 7 17 18 3","0 0 9 11 7 15 15 4 1 1 0"
"11","1 2 4 8 16 31 7 11 12 3 15","0 0 9 13 9 11 11 6 3 1 0"
"11","1 2 4 8 16 7 11 19 5 6 3","0 0 9 14 8 8 14 9 0 0 1"
"11","1 2 4 8 16 7 11 5 9 15 3","0 0 9 16 15 12 7 3 1 0 0"
"11","1 2 4 8 16 7 11 5 9 3 12","0 0 10 15 12 15 10 0 0 1 0"
"11","1 2 4 8 16 7 11 13 3 5 6","0 0 10 16 12 12 10 3 0 0 0"
"11","5 6 7 8 9 10 11 12 13 14 15","0 0 12 26 28 24 20 13 4 0 0"
"11","3 5 6 7 9 10 11 12 13 14 15","0 0 13 25 25 27 23 10 3 1 0"
"11","3 5 6 8 9 10 11 12 13 14 15","0 0 13 26 24 24 26 13 0 0 1"
"12","1 2 4 8 16 31 7 11 21 25 13 14","0 0 0 38 0 52 0 33 0 4 0 0"
"12","1 2 4 8 16 31 7 11 21 13 14 26","0 0 0 39 0 48 0 39 0 0 0 1"
"12","1 2 4 8 16 31 7 11 21 25 13 3","0 0 3 25 23 27 25 10 13 1 0 0"
"12","1 2 4 8 16 31 7 11 21 13 14 17","0 0 3 26 22 24 28 13 10 0 1 0"
"12","1 2 4 8 16 15 19 21 25 30 3 5","0 0 4 20 32 22 20 19 8 2 0 0"
"12","1 2 4 8 16 31 7 11 13 14 17 18","0 0 4 22 28 20 28 17 4 4 0 0"
"12","1 2 4 8 16 15 19 21 25 30 3 18","0 0 4 23 28 16 28 23 4 0 0 1"
"12","1 2 4 8 16 31 7 11 21 25 13 5","0 0 4 25 19 27 31 10 9 1 1 0"
"12","1 2 4 8 16 31 7 11 21 13 14 3","0 0 4 26 20 24 28 13 12 0 0 0"
"12","1 2 4 8 16 15 19 21 25 30 3 7","0 0 5 18 32 24 18 21 8 0 1 0"
"12","1 2 4 8 16 31 7 11 21 13 17 3","0 0 5 19 29 25 23 16 7 3 0 0"
"12","1 2 4 8 16 31 7 11 21 13 17 20","0 0 5 20 28 22 26 19 4 2 1 0"
"12","1 2 4 8 16 31 7 11 21 13 14 5","0 0 5 26 16 24 34 13 8 0 1 0"
"12","1 2 4 8 16 15 19 21 25 3 29 5","0 0 6 16 30 30 18 15 10 2 0 0"
"12","1 2 4 8 16 15 19 21 25 7 9 23","0 0 6 16 30 30 18 15 10 2 0 0"
"12","1 2 4 8 16 15 19 21 25 7 9 3","0 0 6 17 29 27 21 18 7 1 1 0"
"12","1 2 4 8 16 31 7 11 21 13 3 18","0 0 6 18 26 28 26 13 6 4 0 0"
"12","1 2 4 8 16 31 7 11 21 13 17 10","0 0 6 18 26 28 26 13 6 4 0 0"
"12","1 2 4 8 16 31 7 11 21 25 3 5","0 0 6 18 26 28 26 13 6 4 0 0"
"12","1 2 4 8 16 31 7 11 21 25 3 17","0 0 6 18 26 28 26 13 6 4 0 0"
"12","1 2 4 8 16 15 19 21 25 3 5 23","0 0 6 18 30 24 18 21 10 0 0 0"
"12","1 2 4 8 16 31 7 11 21 13 20 3","0 0 6 19 25 25 29 16 3 3 1 0"
"12","1 2 4 8 16 31 7 11 21 13 3 23","0 0 6 19 26 24 26 19 6 0 0 1"
"12","1 2 4 8 16 31 7 11 21 13 17 5","0 0 6 19 26 24 26 19 6 0 0 1"
"12","1 2 4 8 16 31 7 11 13 14 17 3","0 0 6 20 26 22 26 19 6 2 0 0"
"12","1 2 4 8 16 31 7 11 21 13 3 6","0 0 6 20 26 22 26 19 6 2 0 0"
"12","1 2 4 8 16 15 19 21 9 31 3 6","0 0 7 15 27 33 21 12 9 3 0 0"
"12","1 2 4 8 16 15 19 21 9 31 3 17","0 0 7 15 27 33 21 12 9 3 0 0"
"12","1 2 4 8 16 15 19 21 9 31 3 10","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 15 19 21 25 3 5 10","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 15 19 21 25 3 29 12","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 15 19 21 25 7 9 6","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 15 19 21 25 30 3 17","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 31 7 11 13 18 20 3","0 0 7 16 26 30 24 15 6 2 1 0"
"12","1 2 4 8 16 15 19 21 25 3 5 7","0 0 7 17 27 27 21 18 9 1 0 0"
"12","1 2 4 8 16 31 7 11 13 18 20 9","0 0 7 17 27 27 21 18 9 1 0 0"
"12","1 2 4 8 16 31 7 11 21 13 20 5","0 0 7 18 22 28 32 13 2 4 1 0"
"12","1 2 4 8 16 15 19 21 25 3 5 6","0 0 7 18 26 24 24 21 6 0 1 0"
"12","1 2 4 8 16 15 19 21 25 7 3 18","0 0 7 18 26 24 24 21 6 0 1 0"
"12","1 2 4 8 16 31 7 11 21 13 3 5","0 0 7 19 23 25 29 16 5 3 0 0"
"12","1 2 4 8 16 31 7 11 13 14 17 15","0 0 7 20 22 22 32 19 2 2 1 0"
"12","1 2 4 8 16 15 19 5 24 13 3 23","0 0 8 14 24 36 24 9 8 4 0 0"
"12","1 2 4 8 16 15 19 21 9 31 6 17","0 0 8 14 24 36 24 9 8 4 0 0"
"12","1 2 4 8 16 15 19 21 9 3 28 6","0 0 8 15 23 33 27 12 5 3 1 0"
"12","1 2 4 8 16 7 11 19 5 24 6 27","0 0 8 15 24 32 24 15 8 0 0 1"
"12","1 2 4 8 16 7 11 19 5 24 9 20","0 0 8 15 24 32 24 15 8 0 0 1"
"12","1 2 4 8 16 15 19 21 9 23 3 11","0 0 8 15 24 32 24 15 8 0 0 1"
"12","1 2 4 8 16 15 19 21 25 3 29 17","0 0 8 15 24 32 24 15 8 0 0 1"
"12","1 2 4 8 16 15 19 21 9 23 3 6","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 15 19 21 9 23 3 17","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 15 19 21 25 3 5 17","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 15 19 21 25 7 3 17","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 31 7 11 13 18 3 12","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 31 7 11 21 6 10 15","0 0 8 16 24 30 24 15 8 2 0 0"
"12","1 2 4 8 16 31 7 11 13 18 20 6","0 0 8 17 23 27 27 18 5 1 1 0"
"12","1 2 4 8 16 31 7 11 21 6 10 5","0 0 8 17 23 27 27 18 5 1 1 0"
"12","1 2 4 8 16 31 7 11 13 18 5 10","0 0 8 18 24 24 24 21 8 0 0 0"
"12","1 2 4 8 16 31 7 11 21 13 5 10","0 0 8 20 20 22 32 19 4 2 0 0"
"12","1 2 4 8 16 31 7 11 13 14 3 5","0 0 8 22 24 20 24 17 8 4 0 0"
"12","1 2 4 8 16 31 7 11 13 14 3 12","0 0 8 23 24 16 24 23 8 0 0 1"
"12","1 2 4 8 16 15 19 21 25 3 12 17","0 0 9 14 20 36 30 9 4 4 1 0"
"12","1 2 4 8 16 15 19 5 24 13 3 7","0 0 9 15 21 33 27 12 7 3 0 0"
"12","1 2 4 8 16 15 19 5 24 13 3 11","0 0 9 15 21 33 27 12 7 3 0 0"
"12","1 2 4 8 16 7 11 19 5 24 9 12","0 0 9 16 20 30 30 15 4 2 1 0"
"12","1 2 4 8 16 31 7 11 13 18 3 15","0 0 9 16 20 30 30 15 4 2 1 0"
"12","1 2 4 8 16 31 7 11 13 18 5 15","0 0 9 17 21 27 27 18 7 1 0 0"
"12","1 2 4 8 16 31 7 11 21 6 3 5","0 0 9 17 21 27 27 18 7 1 0 0"
"12","1 2 4 8 16 15 19 21 25 3 18 17","0 0 9 18 20 24 30 21 4 0 1 0"
"12","1 2 4 8 16 15 19 21 3 5 23 17","0 0 9 19 25 25 19 16 11 3 0 0"
"12","1 2 4 8 16 15 19 21 3 5 23 6","0 0 9 20 24 22 22 19 8 2 1 0"
"12","1 2 4 8 16 15 19 21 22 7 3 5","0 0 9 20 24 22 22 19 8 2 1 0"
"12","1 2 4 8 16 31 7 11 13 14 3 15","0 0 9 22 20 20 30 17 4 4 1 0"
"12","1 2 4 8 16 7 11 19 5 24 9 3","0 0 10 16 18 30 30 15 6 2 0 0"
"12","1 2 4 8 16 15 19 21 9 23 6 17","0 0 10 16 18 30 30 15 6 2 0 0"
"12","1 2 4 8 16 31 7 11 21 3 20 23","0 0 10 18 18 24 30 21 6 0 0 0"
"12","1 2 4 8 16 15 19 21 7 17 3 5","0 0 10 18 22 28 22 13 10 4 0 0"
"12","1 2 4 8 16 31 7 11 5 9 3 12","0 0 10 18 22 28 22 13 10 4 0 0"
"12","1 2 4 8 16 31 7 11 13 3 5 6","0 0 10 19 21 25 25 16 7 3 1 0"
"12","1 2 4 8 16 31 7 11 13 3 5 15","0 0 10 19 21 25 25 16 7 3 1 0"
"12","1 2 4 8 16 15 19 21 3 5 23 7","0 0 10 19 22 24 22 19 10 0 0 1"
"12","1 2 4 8 16 15 19 21 22 3 5 6","0 0 10 19 22 24 22 19 10 0 0 1"
"12","1 2 4 8 16 7 11 19 5 24 6 3","0 0 11 16 14 30 36 15 2 2 1 0"
"12","1 2 4 8 16 15 19 21 7 17 3 18","0 0 11 18 18 28 28 13 6 4 1 0"
"12","1 2 4 8 16 31 7 11 5 10 3 15","0 0 11 18 18 28 28 13 6 4 1 0"
"12","1 2 4 8 16 15 19 21 3 5 6 7","0 0 11 19 19 25 25 16 9 3 0 0"
"12","1 2 4 8 16 31 7 11 13 3 12 15","0 0 11 20 18 22 28 19 6 2 1 0"
"12","1 2 4 8 16 7 11 13 14 3 5 9","0 0 12 26 28 24 20 13 4 0 0 0"
"12","1 2 4 8 16 7 11 5 9 15 3 6","0 0 13 25 25 27 23 10 3 1 0 0"
"12","1 2 4 8 16 7 11 13 14 3 5 6","0 0 13 26 24 24 26 13 0 0 1 0"
"12","4 5 6 7 8 9 10 11 12 13 14 15","0 0 16 39 48 48 48 39 16 0 0 1"
"12","3 5 6 7 8 9 10 11 12 13 14 15","0 0 17 38 44 52 54 33 12 4 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 19","0 0 0 55 0 96 0 87 0 16 0 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 17","0 0 4 38 32 52 56 33 32 4 4 0 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 3","0 0 4 38 33 52 52 33 38 4 0 0 1"
"13","1 2 4 8 16 31 7 11 21 13 14 26 3","0 0 4 39 32 48 56 39 32 0 4 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 5","0 0 5 38 28 52 62 33 28 4 5 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 23","0 0 6 28 51 42 42 51 28 6 0 0 1"
"13","1 2 4 8 16 31 7 11 21 25 13 3 17","0 0 6 29 46 46 50 41 26 10 0 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 18","0 0 6 30 44 44 56 41 20 12 2 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 20","0 0 6 31 44 40 56 47 20 8 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 26 5","0 0 6 39 24 48 68 39 24 0 6 1 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 10","0 0 7 26 48 48 46 45 24 8 3 0 0"
"13","1 2 4 8 16 31 7 11 21 25 13 3 18","0 0 7 28 42 50 56 35 22 14 1 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 6","0 0 7 28 46 42 52 51 18 6 5 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 3","0 0 7 29 42 46 56 41 22 10 1 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 3 5","0 0 7 29 42 46 56 41 22 10 1 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 27","0 0 8 23 48 56 40 39 32 8 0 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 24","0 0 8 24 46 54 46 39 26 10 2 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 7","0 0 8 25 46 50 46 45 26 6 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 23","0 0 8 25 46 50 46 45 26 6 2 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 18 5","0 0 8 26 44 48 52 45 20 8 4 0 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 9","0 0 8 26 44 48 52 45 20 8 4 0 0"
"13","1 2 4 8 16 31 7 11 13 14 17 18 12","0 0 8 26 45 48 48 45 26 8 0 0 1"
